site_id,name,address,district,state,latitude,longitude,gis_accuracy
S425,Temple No. 1,Ganchhali,Sabarkantha,Gujarat,23.436426,73.049076,exact
S426,Temple No. 2,Ganchhali,Sabarkantha,Gujarat,23.436495,73.048984,exact
S427,Temple No. 3,Ganchhali,Sabarkantha,Gujarat,23.436495,73.048984,exact
S428,Temple No. 4,Ganchhali,Sabarkantha,Gujarat,23.436426,73.049076,exact
S429,Temple No. 5,Ganchhali,Sabarkantha,Gujarat,23.436426,73.049076,exact
S430,Gopnath Mahadev Shiv Panchayatan Temple,Gota (Khedbrahma),Sabarkantha,Gujarat,23.9944,73.0639,exact
S431,Shiva Temple,Dantral? (Detran),Sabarkantha,Gujarat,23.659965,73.079806,exact
S432,Nilkanth Mahadev Temple,Poshina,Sabarkantha,Gujarat,20.278117,72.881222,approximate (name matched in Gujarat)
S433,Ruins,Nandej,Aravalli,Gujarat,22.254356,68.97319,approximate (name matched in Gujarat)
S434,Mahakali Temple,Nandej,Aravalli,Gujarat,20.888369,70.403036,approximate (name matched in Gujarat)
S435,Mahadev Temple,Nandej,Aravalli,Gujarat,23.767239,73.25422,exact
S436,Hanumanji Temple,Nandej,Aravalli,Gujarat,20.812002,72.996254,approximate (name matched in Gujarat)
S437,Shiva Panchayatan Temple,Bhetali,Aravalli,Gujarat,23.7278,73.2936,exact
S438,Shobhayada Shiva Temple,Moti Bebar,Aravalli,Gujarat,23.6514,73.26,exact
S439,Ancient Temple,Shamlaji,Aravalli,Gujarat,23.6872,73.3894,exact
S440,Vav,Shamlaji,Aravalli,Gujarat,23.6878,73.3875,exact
S441,Harishchandra ni Chori,Shamlaji,Aravalli,Gujarat,23.6861,73.3842,exact
S442,Pagathiyavali Vav (Stepwell),Tintoi,Aravalli,Gujarat,23.6139,73.3322,exact
S443,Vanzari Vav,Modasa,Aravalli,Gujarat,23.4667,73.2986,exact
S444,Temple with Kund,Abhapur,Sabarkantha,Gujarat,24.0011,73.2817,exact
S445,Jain Temple No.1,Abhapur,Sabarkantha,Gujarat,24.0003,73.2803,exact
S446,Jain Temple No.2,Abhapur,Sabarkantha,Gujarat,24.0003,73.2803,exact
S447,Jain Temple No.3,Abhapur,Sabarkantha,Gujarat,24,73.2822,exact
S448,Sharaneshwar Temple,Abhapur,Sabarkantha,Gujarat,24.0014,73.2689,exact
S449,Shivashakti Temple,Abhapur,Sabarkantha,Gujarat,23.9994,73.2747,exact
S450,Jain Temple No.1,Antarsumba,Sabarkantha,Gujarat,23.9889,73.2197,exact
S451,Jain Temple No.2,Antarsumba,Sabarkantha,Gujarat,23.9889,73.2197,exact
S452,Jain Temple No.3,Antarsumba,Sabarkantha,Gujarat,23.9883,73.2192,exact
S453,Jain Temple No.4,Antarsumba,Sabarkantha,Gujarat,23.9881,73.2189,exact
S454,Shakti Temple,Antarsumba,Sabarkantha,Gujarat,23.9847,73.2097,exact
S455,Shiva Temple,Antarsumba,Sabarkantha,Gujarat,23.9847,73.2097,exact
S456,Shiva Panchayatan Temple No.1,Antarsumba,Sabarkantha,Gujarat,23.868851,73.013784,"approximate (district: Sabarkantha, Gujarat)"
S457,Shiva Panchayatan Temple No.2,Antarsumba,Sabarkantha,Gujarat,23.9883,73.2192,exact
S458,Vav (Stepwell),Dholi Vav (Vijaynagar),Sabarkantha,Gujarat,23.167147,72.580134,approximate (name matched in Gujarat)
S459,Nagrani Vav (Stepwell),Khed-Chandarani,Sabarkantha,Gujarat,23.6642,73.0964,exact
S460,Santhaleshwar Mahadev Temple,Mathasuliya,Sabarkantha,Gujarat,23.5986,73.1389,exact
S461,Chaumukh Mahadev Temple,Hathrol,Sabarkantha,Gujarat,23.5128,73.1253,exact
S462,Neminath Jain Temple with three inscriptions,Girnar Hill,Junagadh,Gujarat,21.5272,70.5231,exact
S463,Vastupal Jain Temple with six inscriptions,Girnar Hill,Junagadh,Gujarat,21.5267,70.5233,exact
S464,Virji Vora ni Vav,Halvad,Morbi,Gujarat,23.0139,71.1825,exact
