image_id,entity_type,entity_id,image_path,image_description
IMG607,structure,ST323,images/structures/ST323_Rataba_alias_Rajbai_Vav/img1.jpg,structure image
IMG608,structure,ST323,images/structures/ST323_Rataba_alias_Rajbai_Vav/img2.jpg,structure image
IMG609,structure,ST323,images/structures/ST323_Rataba_alias_Rajbai_Vav/img3.jpg,structure image
IMG610,structure,ST324,images/structures/ST324_Ganga_Vav/img1.jpg,structure image
IMG611,structure,ST324,images/structures/ST324_Ganga_Vav/img2.jpg,structure image
IMG612,structure,ST324,images/structures/ST324_Ganga_Vav/img3.jpg,structure image
IMG613,structure,ST325,images/structures/ST325_Madhavav/img1.jpg,structure image
IMG614,structure,ST325,images/structures/ST325_Madhavav/img2.jpg,structure image
IMG615,structure,ST325,images/structures/ST325_Madhavav/img3.jpg,structure image
IMG616,structure,ST326,images/structures/ST326_Vav/img1.jpg,structure image
IMG617,structure,ST326,images/structures/ST326_Vav/img2.jpg,structure image
IMG618,structure,ST326,images/structures/ST326_Vav/img3.jpg,structure image
IMG619,structure,ST327,images/structures/ST327_Sundari_Bhavani_Temple/img1.jpg,structure image
IMG620,structure,ST327,images/structures/ST327_Sundari_Bhavani_Temple/img2.jpg,structure image
IMG621,structure,ST327,images/structures/ST327_Sundari_Bhavani_Temple/img3.jpg,structure image
IMG622,structure,ST329,images/structures/ST329_Ancient_Vav_at_Sharneshwar_Temple/img1.jpg,structure image
IMG623,structure,ST329,images/structures/ST329_Ancient_Vav_at_Sharneshwar_Temple/img2.jpg,structure image
IMG624,structure,ST329,images/structures/ST329_Ancient_Vav_at_Sharneshwar_Temple/img3.jpg,structure image
IMG625,structure,ST330,images/structures/ST330_Tom_Coryat_Makbaro_(Thomas_Coryat's_Tomb)/img1.jpg,structure image
IMG626,structure,ST330,images/structures/ST330_Tom_Coryat_Makbaro_(Thomas_Coryat's_Tomb)/img2.jpg,structure image
IMG627,structure,ST330,images/structures/ST330_Tom_Coryat_Makbaro_(Thomas_Coryat's_Tomb)/img3.jpg,structure image
IMG628,structure,ST331,images/structures/ST331_Radhakrishna_Temple/img1.jpg,structure image
IMG629,structure,ST331,images/structures/ST331_Radhakrishna_Temple/img2.jpg,structure image
IMG630,structure,ST331,images/structures/ST331_Radhakrishna_Temple/img3.jpg,structure image
IMG631,structure,ST333,images/structures/ST333_Arjun_Chori_(Shiva_Temple)/img1.jpg,structure image
IMG632,structure,ST333,images/structures/ST333_Arjun_Chori_(Shiva_Temple)/img2.jpg,structure image
IMG633,structure,ST333,images/structures/ST333_Arjun_Chori_(Shiva_Temple)/img3.jpg,structure image
IMG634,structure,ST334,images/structures/ST334_Kund_(Hidimba_Kund)/img1.jpg,structure image
IMG635,structure,ST334,images/structures/ST334_Kund_(Hidimba_Kund)/img2.jpg,structure image
IMG636,structure,ST334,images/structures/ST334_Kund_(Hidimba_Kund)/img3.jpg,structure image
IMG637,structure,ST335,images/structures/ST335_Temple_with_Three_Entrances_(Hidimba_Temple)/img1.jpg,structure image
IMG638,structure,ST335,images/structures/ST335_Temple_with_Three_Entrances_(Hidimba_Temple)/img2.jpg,structure image
IMG639,structure,ST335,images/structures/ST335_Temple_with_Three_Entrances_(Hidimba_Temple)/img3.jpg,structure image
IMG640,structure,ST336,images/structures/ST336_Ancient_Temple_(Ghummatvalu_Mandir)/img1.jpg,structure image
IMG641,structure,ST336,images/structures/ST336_Ancient_Temple_(Ghummatvalu_Mandir)/img2.jpg,structure image
IMG642,structure,ST336,images/structures/ST336_Ancient_Temple_(Ghummatvalu_Mandir)/img3.jpg,structure image
IMG643,structure,ST337,images/structures/ST337_Bhim_Chori_(Shiva_Temple)/img1.jpg,structure image
IMG644,structure,ST337,images/structures/ST337_Bhim_Chori_(Shiva_Temple)/img2.jpg,structure image
IMG645,structure,ST337,images/structures/ST337_Bhim_Chori_(Shiva_Temple)/img3.jpg,structure image
IMG646,structure,ST338,images/structures/ST338_Vahu_Ni_Vav/img1.jpg,structure image
IMG647,structure,ST338,images/structures/ST338_Vahu_Ni_Vav/img2.jpg,structure image
IMG648,structure,ST338,images/structures/ST338_Vahu_Ni_Vav/img3.jpg,structure image
IMG649,structure,ST339,images/structures/ST339_Shikar_Madhi/img1.jpg,structure image
IMG650,structure,ST339,images/structures/ST339_Shikar_Madhi/img2.jpg,structure image
